id,passorfail
74015,0.5129
74016,0.3732
74017,0.0104
74018,0.5316
74019,0.8529
74020,0.6445
74021,0.3664
74022,0.0909
74023,0.9474
74024,0.8366
74025,0.8123
74026,0.7588
74027,0.0
74028,0.5213
74029,0.5767
74030,0.5769
74031,0.1502
74032,0.4805
74033,0.3338
74034,0.4104
74035,0.6066
74036,0.0855
74037,0.4949
74038,0.5478
74039,0.2593
74040,0.8332
74041,0.9501
74042,0.2643
74043,0.9548
74044,0.7688
74045,0.8808
74046,0.6805
74047,0.5041
74048,0.6864
74049,0.247
74050,0.0891
74051,0.4403
74052,0.3425
74053,0.0639
74054,0.4995
74055,0.383
74056,0.9363
74057,0.2411
74058,0.9919
74059,0.2331
74060,0.2164
74061,0.6028
74062,0.1313
74063,0.2825
74064,0.7138
74065,0.5549
74066,0.8833
74067,0.065
74068,0.9652
74069,0.6429
74070,0.1289
74071,0.0905
74072,0.1081
74073,0.1934
74074,0.0006
74075,0.2464
74076,0.2976
74077,0.4054
74078,0.7134
74079,0.5161
74080,0.2452
74081,0.4779
74082,0.745
74083,0.309
74084,0.8659
74085,0.8
74086,0.2376
74087,0.3993
74088,0.1623
74089,0.5344
74090,0.2051
74091,0.9817
74092,0.2041
74093,0.0321
74094,0.7618
74095,0.0873
74096,0.6435
74097,0.918
74098,0.0228
74099,0.8577
74100,0.5789
74101,0.8519
74102,0.4314
74103,0.0982
74104,0.4566
74105,0.9411
74106,0.5343
74107,0.2077
74108,0.335
74109,0.7261
74110,0.6704
74111,0.4232
74112,0.2013
74113,0.5856
74114,0.0635
74115,0.4839
74116,0.3616
74117,0.6591
74118,0.43
74119,0.1256
74120,0.1203
74121,0.5569
74122,0.0064
74123,0.1902
74124,0.2576
74125,0.9108
74126,0.7052
74127,0.3183
74128,0.8687
74129,0.7952
74130,0.1835
74131,0.3448
74132,0.0043
74133,0.1905
74134,0.1236
74135,0.0177
74136,0.5495
74137,0.7445
74138,0.1985
74139,0.0219
74140,0.7029
74141,0.5125
74142,0.9385
74143,0.2257
74144,0.4866
74145,0.1917
74146,0.8178
74147,0.915
74148,0.76
74149,0.1253
74150,0.806
74151,0.9223
74152,0.1682
74153,0.1957
74154,0.427
74155,0.2208
74156,0.3452
74157,0.917
74158,0.4834
74159,0.6888
74160,0.0458
74161,0.1979
74162,0.3484
74163,0.9634
74164,0.893
74165,0.9337
74166,0.9532
74167,0.5485
74168,0.3736
74169,0.9396
74170,0.4112
74171,0.5056
74172,0.9507
74173,0.7402
74174,0.0489
74175,0.5189
74176,0.4244
74177,0.8368
74178,0.5943
74179,0.1336
74180,0.7928
74181,0.6267
74182,0.9132
74183,0.004
74184,0.3637
74185,0.0144
74186,0.5343
74187,0.1405
74188,0.2527
74189,0.5541
74190,0.889
74191,0.1797
74192,0.0126
74193,0.8335
74194,0.4652
74195,0.2059
74196,0.709
74197,0.9515
74198,0.7078
74199,0.0186
74200,0.8163
74201,0.5693
74202,0.7176
74203,0.104
74204,0.5777
74205,0.0322
74206,0.1342
74207,0.5481
74208,0.2525
74209,0.0464
74210,0.4481
74211,0.8146
74212,0.9692
74213,0.2362
74214,0.4047
74215,0.9526
74216,0.8398
74217,0.761
74218,0.1639
74219,0.4284
74220,0.5536
74221,0.0854
74222,0.6855
74223,0.5736
74224,0.9346
74225,0.9107
74226,0.9178
74227,0.0664
74228,0.4379
74229,0.8034
74230,0.7217
74231,0.6436
74232,0.6424
74233,0.4707
74234,0.1892
74235,0.9698
74236,0.7852
74237,0.6425
74238,0.8913
74239,0.2916
74240,0.7531
74241,0.4494
74242,0.4159
74243,0.0446
74244,0.5883
74245,0.6675
74246,0.7984
74247,0.0434
74248,0.0359
74249,0.3565
74250,0.1761
74251,0.6532
74252,0.2735
74253,0.8297
74254,0.7815
74255,0.5617
74256,0.7476
74257,0.9361
74258,0.1939
74259,0.6208
74260,0.7046
74261,0.7561
74262,0.0764
74263,0.3003
74264,0.5754
74265,0.5467
74266,0.0229
74267,0.0162
74268,0.8177
74269,0.1283
74270,0.4169
74271,0.8782
74272,0.6277
74273,0.6899
74274,0.4552
74275,0.394
74276,0.1599
74277,0.7696
74278,0.0843
74279,0.1358
74280,0.0557
74281,0.2438
74282,0.2218
74283,0.0406
74284,0.2757
74285,0.2564
74286,0.3678
74287,0.072
74288,0.9235
74289,0.8029
74290,0.5325
74291,0.2985
74292,0.5807
74293,0.1269
74294,0.2782
74295,0.8369
74296,0.767
74297,0.9569
74298,0.9469
74299,0.5806
74300,0.6517
74301,0.3323
74302,0.3128
74303,0.8913
74304,0.2195
74305,0.8505
74306,0.4221
74307,0.1482
74308,0.8861
74309,0.7309
74310,0.3984
74311,0.1776
74312,0.1779
74313,0.9269
74314,0.3979
74315,0.8761
74316,0.5268
74317,0.8503
74318,0.5089
74319,0.2069
74320,0.9062
74321,0.1528
74322,0.6391
74323,0.3754
74324,0.8945
74325,0.2205
74326,0.84
74327,0.429
74328,0.785
74329,0.8556
74330,0.4625
74331,0.3711
74332,0.4709
74333,0.8411
74334,0.8742
74335,0.9274
74336,0.6036
74337,0.9172
74338,0.1408
74339,0.3506
74340,0.1863
74341,0.8575
74342,0.0993
74343,0.2445
74344,0.5948
74345,0.535
74346,0.8884
74347,0.9666
74348,0.8907
74349,0.5568
74350,0.2841
74351,0.6887
74352,0.8599
74353,0.7548
74354,0.4502
74355,0.9803
74356,0.8532
74357,0.3641
74358,0.4593
74359,0.793
74360,0.1722
74361,0.8073
74362,0.3186
74363,0.3603
74364,0.4947
74365,0.7941
74366,0.894
74367,0.6142
74368,0.2826
74369,0.7875
74370,0.353
74371,0.6395
74372,0.8705
74373,0.1533
74374,0.5657
74375,0.7197
74376,0.2838
74377,0.6832
74378,0.2798
74379,0.3526
74380,0.4414
74381,0.018
74382,0.5027
74383,0.425
74384,0.5348
74385,0.4193
74386,0.1969
74387,0.7773
74388,0.7761
74389,0.6458
74390,0.4045
74391,0.7215
74392,0.4016
74393,0.6296
74394,0.6774
74395,0.8107
74396,0.597
74397,0.169
74398,0.9149
74399,0.8443
74400,0.4194
74401,0.1973
74402,0.0178
74403,0.6808
74404,0.952
74405,0.6747
74406,0.1756
74407,0.9699
74408,0.2369
74409,0.1265
74410,0.2251
74411,0.2978
74412,0.4454
74413,0.5546
74414,0.9789
74415,0.5756
74416,0.7476
74417,0.807
74418,0.8439
74419,0.5392
74420,0.1613
74421,0.5464
74422,0.9464
74423,0.2992
74424,0.1984
74425,0.479
74426,0.9052
74427,0.9836
74428,0.4608
74429,0.2064
74430,0.9601
74431,0.2093
74432,0.7292
74433,0.8268
74434,0.8327
74435,0.358
74436,0.5085
74437,0.1932
74438,0.557
74439,0.1604
74440,0.2625
74441,0.0657
74442,0.399
74443,0.2273
74444,0.1318
74445,0.8695
74446,0.7612
74447,0.8925
74448,0.7178
74449,0.5091
74450,0.7102
74451,0.7763
74452,0.9984
74453,0.1369
74454,0.9765
74455,0.7826
74456,0.2794
74457,0.0944
74458,0.7061
74459,0.6392
74460,0.3685
74461,0.48
74462,0.3722
74463,0.3718
74464,0.8751
74465,0.5109
74466,0.6424
74467,0.1073
74468,0.6205
74469,0.4396
74470,0.4321
74471,0.4361
74472,0.7213
74473,0.7635
74474,0.0631
74475,0.0082
74476,0.5123
74477,0.3557
74478,0.692
74479,0.8751
74480,0.3765
74481,0.8555
74482,0.6608
74483,0.1064
74484,0.9072
74485,0.0233
74486,0.4783
74487,0.8244
74488,0.6237
74489,0.5452
74490,0.6623
74491,0.0529
74492,0.9171
74493,0.8488
74494,0.5123
74495,0.3322
74496,0.7419
74497,0.2413
74498,0.4809
74499,0.9604
74500,0.6063
74501,0.1735
74502,0.7062
74503,0.2744
74504,0.3055
74505,0.8613
74506,0.6542
74507,0.6033
74508,0.2298
74509,0.4309
74510,0.4336
74511,0.6256
74512,0.6227
74513,0.6436
74514,0.0857
74515,0.9484
74516,0.9153
74517,0.4181
74518,0.8284
74519,0.4612
74520,0.3809
74521,0.2383
74522,0.2567
74523,0.6752
74524,0.5636
74525,0.1872
74526,0.3269
74527,0.8852
74528,0.2253
74529,0.4121
74530,0.984
74531,0.5096
74532,0.5466
74533,0.1798
74534,0.0729
74535,0.0709
74536,0.931
74537,0.7434
74538,0.744
74539,0.6888
74540,0.3135
74541,0.1039
74542,0.9412
74543,0.6752
74544,0.0935
74545,0.9989
74546,0.3868
74547,0.6844
74548,0.5265
74549,0.2058
74550,0.1377
74551,0.2105
74552,0.5643
74553,0.0144
74554,0.6749
74555,0.5723
74556,0.4625
74557,0.7407
74558,0.8246
74559,0.7738
74560,0.4829
74561,0.2774
74562,0.4598
74563,0.232
74564,0.3333
74565,0.8826
74566,0.6068
74567,0.8447
74568,0.9289
74569,0.7064
74570,0.119
74571,0.9003
74572,0.1662
74573,0.9033
74574,0.1055
74575,0.5949
74576,0.9625
74577,0.8837
74578,0.1418
74579,0.5932
74580,0.6495
74581,0.1967
74582,0.5423
74583,0.2977
74584,0.0431
74585,0.1835
74586,0.2373
74587,0.8559
74588,0.8625
74589,0.5638
74590,0.0507
74591,0.5199
74592,0.5375
74593,0.4258
74594,0.7088
74595,0.2908
74596,0.6208
74597,0.8917
74598,0.7362
74599,0.9373
74600,0.1167
74601,0.4632
74602,0.4895
74603,0.3077
74604,0.7554
74605,0.1071
74606,0.6053
74607,0.5885
74608,0.7336
74609,0.3701
74610,0.7644
74611,0.7183
74612,0.957
74613,0.0667
74614,0.9701
74615,0.5659
74616,0.0445
74617,0.5717
74618,0.3801
74619,0.0585
74620,0.9919
74621,0.2026
74622,0.3127
74623,0.2083
74624,0.3916
74625,0.8658
74626,0.2154
74627,0.7951
74628,0.9676
74629,0.4976
74630,0.3629
74631,0.8799
74632,0.8716
74633,0.2308
74634,0.2357
74635,0.941
74636,0.2424
74637,0.4074
74638,0.2173
74639,0.771
74640,0.333
74641,0.7445
74642,0.579
74643,0.4497
74644,0.1477
74645,0.8391
74646,0.3724
74647,0.2595
74648,0.4499
74649,0.634
74650,0.4281
74651,0.6239
74652,0.4209
74653,0.1986
74654,0.966
74655,0.9849
74656,0.1807
74657,0.7773
74658,0.9612
74659,0.9166
74660,0.3717
74661,0.5565
74662,0.0726
74663,0.74
74664,0.0996
74665,0.1723
74666,0.6419
74667,0.7813
74668,0.0236
74669,0.5765
74670,0.0737
74671,0.3253
74672,0.5445
74673,0.0755
74674,0.8297
74675,0.5491
74676,0.4156
74677,0.878
74678,0.648
74679,0.5549
74680,0.4026
74681,0.6144
74682,0.7374
74683,0.5091
74684,0.5485
74685,0.7622
74686,0.0703
74687,0.8619
74688,0.2568
74689,0.8451
74690,0.9865
74691,0.2985
74692,0.4092
74693,0.5002
74694,0.9868
74695,0.4198
74696,0.0416
74697,0.1945
74698,0.4266
74699,0.956
74700,0.7515
74701,0.76
74702,0.8865
74703,0.2291
74704,0.8456
74705,0.2383
74706,0.4034
74707,0.6731
74708,0.8207
74709,0.4751
74710,0.1894
74711,0.9071
74712,0.188
74713,0.5499
74714,0.6232
74715,0.9203
74716,0.3054
74717,0.3067
74718,0.9607
74719,0.757
74720,0.4129
74721,0.6571
74722,0.4005
74723,0.4616
74724,0.6124
74725,0.5451
74726,0.0505
74727,0.2448
74728,0.153
74729,0.5599
74730,0.0061
74731,0.337
74732,0.2828
74733,0.8791
74734,0.264
74735,0.4589
74736,0.7536
74737,0.2833
74738,0.7828
74739,0.328
74740,0.1686
74741,0.8029
74742,0.2079
74743,0.2937
74744,0.08
74745,0.188
74746,0.6761
74747,0.9701
74748,0.4754
74749,0.1045
74750,0.1437
74751,0.8375
74752,0.8173
74753,0.8813
74754,0.7637
74755,0.6086
74756,0.739
74757,0.1962
74758,0.8936
74759,0.8812
74760,0.1717
74761,0.6745
74762,0.6049
74763,0.5663
74764,0.2167
74765,0.0603
74766,0.214
74767,0.0062
74768,0.5548
74769,0.8104
74770,0.1957
74771,0.0396
74772,0.8193
74773,0.5
74774,0.3738
74775,0.9618
74776,0.042
74777,0.8568
74778,0.6755
74779,0.0092
74780,0.6665
74781,0.4082
74782,0.4474
74783,0.688
74784,0.7089
74785,0.8736
74786,0.198
74787,0.7139
74788,0.5686
74789,0.6089
74790,0.4738
74791,0.3423
74792,0.1545
74793,0.0667
74794,0.7285
74795,0.746
74796,0.1916
74797,0.7039
74798,0.5726
74799,0.0355
74800,0.2888
74801,0.8674
74802,0.1906
74803,0.0109
74804,0.5256
74805,0.4942
74806,0.0371
74807,0.9985
74808,0.6852
74809,0.377
74810,0.2557
74811,0.9617
74812,0.9925
74813,0.0572
74814,0.3556
74815,0.3643
74816,0.1551
74817,0.5062
74818,0.7589
74819,0.8182
74820,0.697
74821,0.0231
74822,0.091
74823,0.0077
74824,0.443
74825,0.7132
74826,0.4939
74827,0.1243
74828,0.3769
74829,0.2481
74830,0.2296
74831,0.9209
74832,0.3604
74833,0.4171
74834,0.8367
74835,0.4031
74836,0.9637
74837,0.3645
74838,0.6153
74839,0.2832
74840,0.9447
74841,0.8442
74842,0.5753
74843,0.5647
74844,0.1893
74845,0.0248
74846,0.2168
74847,0.7708
74848,0.1383
74849,0.8921
74850,0.8767
74851,0.4242
74852,0.124
74853,0.1656
74854,0.2839
74855,0.7701
74856,0.3582
74857,0.3704
74858,0.1575
74859,0.8528
74860,0.3454
74861,0.8535
74862,0.9214
74863,0.056
74864,0.9386
74865,0.6046
74866,0.626
74867,0.79
74868,0.6632
74869,0.3354
74870,0.2831
74871,0.0458
74872,0.6075
74873,0.2034
74874,0.6344
74875,0.6858
74876,0.3602
74877,0.5361
74878,0.4649
74879,0.7814
74880,0.0671
74881,0.9805
74882,0.4848
74883,0.444
74884,0.4275
74885,0.9087
74886,0.7188
74887,0.457
74888,0.4741
74889,0.6563
74890,0.468
74891,0.8113
74892,0.4637
74893,0.8749
74894,0.6011
74895,0.5048
74896,0.347
74897,0.1619
74898,0.0282
74899,0.0132
74900,0.6814
74901,0.7953
74902,0.1304
74903,0.3402
74904,0.4333
74905,0.671
74906,0.7704
74907,0.532
74908,0.7039
74909,0.953
74910,0.6426
74911,0.4484
74912,0.5673
74913,0.103
74914,0.9908
74915,0.9288
74916,0.7543
74917,0.3605
74918,0.5403
74919,0.9699
74920,0.6813
74921,0.3087
74922,0.8123
74923,0.8428
74924,0.5171
74925,0.249
74926,0.3257
74927,0.4502
74928,0.4947
74929,0.9377
74930,0.4788
74931,0.9487
74932,0.4543
74933,0.9948
74934,0.8679
74935,0.7332
74936,0.9643
74937,0.8418
74938,0.3066
74939,0.2787
74940,0.234
74941,0.7186
74942,0.1631
74943,0.8812
74944,0.3505
74945,0.9669
74946,0.7262
74947,0.0756
74948,0.0292
74949,0.6412
74950,0.0102
74951,0.4216
74952,0.3043
74953,0.9726
74954,0.9617
74955,0.2901
74956,0.5279
74957,0.1049
74958,0.2834
74959,0.1542
74960,0.2792
74961,0.7254
74962,0.0932
74963,0.1923
74964,0.736
74965,0.3668
74966,0.0918
74967,0.2129
74968,0.4787
74969,0.2755
74970,0.588
74971,0.7546
74972,0.764
74973,0.1639
74974,0.5145
74975,0.6245
74976,0.5923
74977,0.2763
74978,0.3305
74979,0.303
74980,0.4667
74981,0.6052
74982,0.0857
74983,0.585
74984,0.0593
74985,0.1115
74986,0.8711
74987,0.0214
74988,0.3396
74989,0.0096
74990,0.7473
74991,0.1618
74992,0.1666
74993,0.1054
74994,0.8232
74995,0.7631
74996,0.1404
74997,0.2258
74998,0.1577
74999,0.3018
75000,0.2039
75001,0.1222
75002,0.7713
75003,0.2283
75004,0.6398
75005,0.9136
75006,0.3124
75007,0.8618
75008,0.1682
75009,0.5834
75010,0.0714
75011,0.4133
75012,0.463
75013,0.5906
75014,0.2908
75015,0.0752
75016,0.2937
75017,0.4959
75018,0.4505
75019,0.0895
75020,0.0846
75021,0.9643
75022,0.1334
75023,0.0425
75024,0.4008
75025,0.6657
75026,0.9362
75027,0.9808
75028,0.2474
75029,0.0262
75030,0.052
75031,0.2597
75032,0.7996
75033,0.2488
75034,0.2076
75035,0.6679
75036,0.962
75037,0.1825
75038,0.8281
75039,0.2373
75040,0.6254
75041,0.03
75042,0.8929
75043,0.4334
75044,0.0416
75045,0.017
75046,0.5078
75047,0.049
75048,0.6467
75049,0.4069
75050,0.7129
75051,0.1958
75052,0.3446
75053,0.3134
75054,0.7681
75055,0.9557
75056,0.3062
75057,0.9539
75058,0.8418
75059,0.7036
75060,0.1408
75061,0.1093
75062,0.3467
75063,0.4148
75064,0.6642
75065,0.4354
75066,0.5791
75067,0.5226
75068,0.2744
75069,0.594
75070,0.9247
75071,0.8577
75072,0.5034
75073,0.5185
75074,0.6749
75075,0.8139
75076,0.9035
75077,0.1777
75078,0.7628
75079,0.2527
75080,0.7873
75081,0.5442
75082,0.3802
75083,0.6733
75084,0.391
75085,0.6165
75086,0.5516
75087,0.973
75088,0.7001
75089,0.3293
75090,0.6068
75091,0.7817
75092,0.0965
75093,0.7248
75094,0.4432
75095,0.3066
75096,0.0027
75097,0.4295
75098,0.0865
75099,0.7964
75100,0.362
75101,0.5573
75102,0.3753
75103,0.5603
75104,0.255
75105,0.2011
75106,0.1714
75107,0.1851
75108,0.7241
75109,0.0611
75110,0.4397
75111,0.3955
75112,0.6468
75113,0.9248
75114,0.047
75115,0.199
75116,0.8958
75117,0.3795
75118,0.4655
75119,0.1659
75120,0.6851
75121,0.9704
75122,0.0817
75123,0.1566
75124,0.1711
75125,0.1116
75126,0.7666
75127,0.6288
75128,0.7125
75129,0.9399
75130,0.8069
75131,0.8593
75132,0.038
75133,0.0289
75134,0.5427
75135,0.7797
75136,0.0458
75137,0.7598
75138,0.1851
75139,0.5905
75140,0.8925
75141,0.9642
75142,0.4424
75143,0.3616
75144,0.5235
75145,0.8875
75146,0.2288
75147,0.2236
75148,0.0256
75149,0.9301
75150,0.0209
75151,0.6292
75152,0.1695
75153,0.3901
75154,0.3497
75155,0.1027
75156,0.3039
75157,0.3696
75158,0.0328
75159,0.9874
75160,0.3105
75161,0.5237
75162,0.3788
75163,0.234
75164,0.7086
75165,0.18
75166,0.4784
75167,0.5939
75168,0.4804
75169,0.4005
75170,0.1795
75171,0.3509
75172,0.7883
75173,0.2307
75174,0.2168
75175,0.9361
75176,0.4121
75177,0.6126
75178,0.4221
75179,0.364
75180,0.3938
75181,0.3498
75182,0.4564
75183,0.8935
75184,0.7303
75185,0.0817
75186,0.1864
75187,0.6125
75188,0.423
75189,0.7079
75190,0.9564
75191,0.625
75192,0.0364
75193,0.2386
75194,0.7372
75195,0.0017
75196,0.3654
75197,0.998
75198,0.156
75199,0.4702
75200,0.6124
75201,0.7741
75202,0.872
75203,0.1938
75204,0.1438
75205,0.7242
75206,0.5648
75207,0.3413
75208,0.6342
75209,0.0459
75210,0.5414
75211,0.7296
75212,0.3193
75213,0.2297
75214,0.1517
75215,0.3969
75216,0.2948
75217,0.3291
75218,0.719
75219,0.7753
75220,0.1518
75221,0.7873
75222,0.8208
75223,0.0638
75224,0.7299
75225,0.2443
75226,0.3717
75227,0.2754
75228,0.1789
75229,0.032
75230,0.6771
75231,0.4107
75232,0.0353
75233,0.9586
75234,0.4652
75235,0.339
75236,0.2438
75237,0.613
75238,0.4216
75239,0.6365
75240,0.1241
75241,0.2334
75242,0.2053
75243,0.0424
75244,0.0442
75245,0.4032
75246,0.7085
75247,0.2795
75248,0.5243
75249,0.643
75250,0.5672
75251,0.122
75252,0.3765
75253,0.9585
75254,0.8541
75255,0.838
75256,0.0527
75257,0.868
75258,0.1974
75259,0.8274
75260,0.7419
75261,0.6682
75262,0.6944
75263,0.5195
75264,0.8978
75265,0.6046
75266,0.218
75267,0.3174
75268,0.9288
75269,0.9594
75270,0.9415
75271,0.3099
75272,0.8637
75273,0.0497
75274,0.9346
75275,0.355
75276,0.5405
75277,0.4426
75278,0.0807
75279,0.9182
75280,0.421
75281,0.6555
75282,0.3483
75283,0.4461
75284,0.5982
75285,0.1634
75286,0.099
75287,0.4519
75288,0.0682
75289,0.2105
75290,0.3742
75291,0.7084
75292,0.1054
75293,0.4833
75294,0.5025
75295,0.1808
75296,0.4887
75297,0.1339
75298,0.4336
75299,0.4415
75300,0.7141
75301,0.0404
75302,0.5859
75303,0.2369
75304,0.5535
75305,0.0278
75306,0.3003
75307,0.8083
75308,0.6278
75309,0.885
75310,0.3656
75311,0.438
75312,0.9886
75313,0.9447
75314,0.3425
75315,0.055
75316,0.0707
75317,0.8979
75318,0.6497
75319,0.6693
75320,0.0507
75321,0.632
75322,0.7065
75323,0.1302
75324,0.7565
75325,0.988
75326,0.0035
75327,0.0682
75328,0.0351
75329,0.4004
75330,0.1048
75331,0.7249
75332,0.3771
75333,0.9788
75334,0.4487
75335,0.1747
75336,0.0883
75337,0.7051
75338,0.856
75339,0.5707
75340,0.4985
75341,0.4311
75342,0.0018
75343,0.7856
75344,0.6622
75345,0.3967
75346,0.2379
75347,0.9505
75348,0.6888
75349,0.9803
75350,0.1246
75351,0.2091
75352,0.4014
75353,0.6732
75354,0.4128
75355,0.0763
75356,0.3935
75357,0.9996
75358,0.1986
75359,0.2367
75360,0.6586
75361,0.1654
75362,0.3137
75363,0.4073
75364,0.0474
75365,0.8051
75366,0.2638
75367,0.5972
75368,0.3889
75369,0.2587
75370,0.6972
75371,0.8536
75372,0.891
75373,0.1366
75374,0.5988
75375,0.7928
75376,0.2959
75377,0.7157
75378,0.3832
75379,0.0895
75380,0.9592
75381,0.4774
